,broj_tema,avg_rezultata,posto_poz,posto_neg
2021-12-07,9,-0.3280379705958896,0.3333333333333333,0.6666666666666666
2021-12-08,8,-0.4560409188270569,0.25,0.75
2021-12-09,9,-0.5299156771765815,0.2222222222222222,0.7777777777777778
2021-12-10,3,-0.8379587133725485,0.0,1.0
2021-12-11,6,-0.6520088811715444,0.16666666666666666,0.8333333333333334
2021-12-12,8,-0.512621134519577,0.25,0.75
2021-12-13,3,-0.9551668167114258,0.0,1.0
2021-12-14,4,-0.511282205581665,0.25,0.75
2021-12-15,5,-0.9538194179534912,0.0,1.0
2021-12-16,11,-0.278724578293887,0.36363636363636365,0.6363636363636364
2021-12-17,6,-0.2940647304058075,0.3333333333333333,0.6666666666666666
2021-12-18,3,-0.25796637932459515,0.3333333333333333,0.6666666666666666
2021-12-19,3,-0.964746375878652,0.0,1.0
2021-12-20,3,-0.28130491574605304,0.3333333333333333,0.6666666666666666
2021-12-21,7,-0.7463564957891192,0.14285714285714285,0.8571428571428571
2021-12-22,10,-0.6208152711391449,0.2,0.8
2021-12-23,6,-0.6450113952159882,0.16666666666666666,0.8333333333333334
2021-12-24,3,-0.29572512706120807,0.3333333333333333,0.6666666666666666
2021-12-25,2,0.9668883681297302,1.0,0.0
2021-12-26,5,-0.22222214937210083,0.4,0.6
2021-12-27,5,-0.5651818990707398,0.2,0.8
2021-12-28,1,0.6900126338005066,1.0,0.0
2021-12-29,8,-0.49426139891147614,0.25,0.75
2021-12-30,3,-0.30508395036061603,0.3333333333333333,0.6666666666666666
2021-12-31,5,-0.9891931056976319,0.0,1.0
2022-01-01,3,-0.9958899219830831,0.0,1.0
2022-01-02,4,-0.5239930599927902,0.25,0.75
2022-01-03,10,-0.008864247798919677,0.5,0.5
2022-01-04,9,-0.5733052558369107,0.2222222222222222,0.7777777777777778
2022-01-05,3,-0.31902215878168744,0.3333333333333333,0.6666666666666666
2022-01-06,9,-0.3596801824039883,0.3333333333333333,0.6666666666666666
2022-01-07,3,-0.297898272673289,0.3333333333333333,0.6666666666666666
2022-01-08,8,-0.22762426733970642,0.375,0.625
2022-01-09,1,-0.9807941913604736,0.0,1.0
2022-01-10,3,-0.9873747229576111,0.0,1.0
2022-01-11,6,-0.3369448184967041,0.3333333333333333,0.6666666666666666
2022-01-12,4,-0.10187043249607086,0.5,0.5
2022-01-13,4,-0.9530243277549744,0.0,1.0
2022-01-14,11,-0.32783854549581354,0.36363636363636365,0.6363636363636364
2022-01-15,3,-0.27261539300282794,0.3333333333333333,0.6666666666666666
2022-01-16,2,-0.12857481837272644,0.5,0.5
2022-01-17,7,-0.42651861906051636,0.2857142857142857,0.7142857142857143
2022-01-18,3,-0.9244415362675985,0.0,1.0
2022-01-19,4,-0.6182437986135483,0.25,0.75
2022-01-20,3,-0.39979443947474164,0.3333333333333333,0.6666666666666666
2022-01-21,6,-0.347485492626826,0.3333333333333333,0.6666666666666666
2022-01-22,7,-0.7205773081098285,0.14285714285714285,0.8571428571428571
2022-01-23,8,-0.2990013286471367,0.375,0.625
2022-01-24,9,-0.5472593506177267,0.2222222222222222,0.7777777777777778
2022-01-25,5,-0.936540138721466,0.0,1.0
2022-01-26,3,-0.9723689556121826,0.0,1.0
2022-01-27,3,-0.28067634503046673,0.3333333333333333,0.6666666666666666
2022-01-28,3,-0.9603277643521627,0.0,1.0
2022-01-29,1,-0.9973477125167847,0.0,1.0
2022-01-30,6,-0.33015106121699017,0.3333333333333333,0.6666666666666666
2022-01-31,8,-0.18524352461099625,0.375,0.625
2022-02-01,6,-0.3335811297098796,0.3333333333333333,0.6666666666666666
2022-02-02,4,-0.49976448714733124,0.25,0.75
